latitude;longitude;penggunaan_bbm;tingkat_kemacetan;risiko_pengiriman
31.267.427.971.610.600;-7.148.449.219.293.990;5.627.314.288.821.600;678.211.277.230.487;8.645.449.487.332.220
327.778.072.935.134;-8.174.929.828.786.270;5.036.266.418.850.500;0.1389525536060692;4.865.510.182.652.710
4.573.032.771.275.060;-7.041.650.420.305.130;5.001.625.917.812.410;6.524.885.920.469.380;5.157.934.248.607.690
3.068.060.663.370.170;-706.509.224.733.309;5.965.113.593.968.260;39.296.612.184.871.200;9.228.818.074.198.120
3.005.637.646.811.950;-8.458.532.911.698.550;555.573.422.292.833;60.593.359.270.009.600;9.486.648.070.311.530
3.905.978.978.360.500;-9.793.752.320.213.310;5.011.879.451.370.090;4.730.472.514.919.840;2.046.978.578.207.310
4.553.983.733.142.430;-706.524.669.808.974;5.000.424.345.168.250;6.578.095.839.538.060;54.187.973.875.170.500
3.207.653.913.446.960;-768.288.072.210.328;5.451.173.244.708.830;256.573.476.383.175;999.740.143.705.265
3.021.299.811.546.710;-8.430.932.886.138.730;5.515.055.099.359.290;13.183.523.638.882.100;9.649.943.451.017.460
30.030.977.020.526.600;-9.600.412.470.932.600;19.501.174.320.782.900;1.687.175.814.038.940;8.833.062.607.374.050
47.712.881.439.617.400;-7.081.209.868.492.730;56.061.633.661.358.300;8.026.608.392.700.540;25.116.175.708.166.300
30.000.063.672.750.100;-778.018.437.471.282;5.000.160.249.023.230;28.267.343.334.758.200;9.151.203.296.604.450
4.951.234.168.740.420;-8.454.621.955.206.940;5.000.000.068.214.010;2.362.143.933.917.290;9.756.094.113.782.890
44.728.044.025.985.300;-9.096.583.513.039.060;19.905.693.665.831.300;8.694.654.922.926.950;6.908.288.702.777.120
47.230.781.458.767.700;-7.430.486.389.553.540;5.025.059.624.484.060;511.577.889.087.736;9.800.552.623.091.790
3.519.306.700.256.080;-9.851.014.840.813.840;5.507.731.949.918.950;9.731.834.827.971.570;6.508.680.277.596.550
3.981.031.689.283.780;-8.922.259.230.456.680;5.005.729.788.168.450;9.795.817.722.841.430;8.361.834.913.454.250
30.172.246.948.310.200;-717.996.620.917.252;500.544.453.666.226;0.34221635266412376;9.604.559.819.720.300
4.138.629.673.388.350;-8.933.312.404.859.160;5.074.813.650.101.520;0.004039758593499859;20.111.036.645.049.200
4.256.997.750.674.250;-7.530.099.273.995.550;5.249.663.580.373.370;74.174.163.695.077.300;865.128.567.363.173
3.897.591.822.694.810;-7.723.662.388.963.170;500.000.007.391.541;8.554.631.825.502.140;0.39011489976934455
30.083.906.222.049.500;-8.205.207.068.256.810;50.020.160.688.694.000;4.881.362.493.363.140;9.035.635.197.332.800
30.007.435.426.240.800;-8.524.229.165.072.900;172.944.945.891.916;0.06140886133846995;945.478.263.853.908
3.292.042.370.630.670;-8.867.670.972.555.740;5.224.346.250.722.850;0.2553957634780192;9.999.581.955.002.670
4.776.451.476.076.710;-7.138.822.946.349.980;8.960.881.215.456.690;4.189.751.205.001.920;903.546.293.786.945
3.293.710.503.647.940;-7.784.491.338.753.220;5.822.377.225.869.470;9.431.816.217.993.660;999.999.974.561.613
42.850.760.831.162.600;-7.509.913.229.928.960;9.328.036.050.729.440;8.102.102.517.422.920;0.4440608980259967
3.972.406.780.475.400;-744.236.517.754.257;5.000.000.469.241.350;13.511.110.347.549.800;9.897.623.320.606.450
4.809.617.839.203.530;-7.000.763.294.090.050;5.000.000.000.010.670;4.703.830.605.903.820;9.112.012.458.625.080
4.385.825.657.641.740;-97.639.326.779.903;1.744.909.442.637.050;9.999.993.075.750.100;2.706.109.866.455.370
3.185.776.180.711.660;-7.550.091.894.921.280;5.054.604.084.059.930;37.405.468.160.140.600;999.394.713.505.167
3.000.024.696.910.290;-11.549.216.851.923.700;5.155.627.949.856.570;18.802.029.384.217.800;999.709.384.322.273
4.160.326.781.267.150;-11.979.279.636.834.700;76.626.803.270.113;7.086.958.063.059.670;964.899.658.630.394
30.589.830.253.500.800;-8.883.474.086.060.760;7.616.507.259.682.050;979.042.778.673.244;9.593.559.875.535.050
3.517.164.057.494.290;-9.562.294.429.743.220;5.330.304.732.151.050;4.443.241.931.770.230;9.999.396.988.366.800
41.268.556.621.170.500;-9.142.462.772.951.680;505.416.366.733.483;14.059.176.188.926.100;4.640.361.102.900.090
48.274.932.907.841.200;-8.153.502.889.204.490;5.000.000.203.956.670;4.928.034.265.557.500;0.3661935987457333
39.544.376.191.129.100;-11.713.994.929.743.300;5.936.765.237.599.920;5.394.841.562.728.860;999.861.114.516.253
3.010.065.135.870.670;-9.091.477.380.616.830;5.015.257.532.693.910;8.269.544.454.241.310;7.118.098.157.081.480
4.789.654.636.618.180;-7.031.260.056.113.530;6.537.221.594.224.520;37.154.400.377.522.100;10.122.499.546.847.800
30.512.320.075.295.200;-1.181.830.149.676.270;19.933.901.651.423.300;9.394.943.617.338.820;3.515.704.571.084.690
3.089.240.034.646.160;-11.184.861.787.565.800;12.204.442.573.253.400;0.5260209090587122;4.747.639.403.246.730
32.994.691.306.010.300;-8.509.560.904.398.830;7.157.687.309.104.100;23.097.751.710.031.100;6.328.277.475.343.250
39.495.171.182.799.700;-11.789.161.052.132.400;11.349.701.631.296.000;10.980.985.138.998.500;0.8844400001628322
30.065.910.278.172.700;-7.183.386.023.985.910;54.154.214.157.392.900;3.923.439.145.416.750;5.424.795.613.576.340
3.978.108.059.590.540;-7.029.226.490.395.200;5.000.109.881.825.700;0.09249825675710502;9.999.978.379.478.540
30.016.124.530.171.900;-7.437.033.990.822.790;6.154.268.417.565.610;9.942.302.284.518.160;38.753.589.763.936.300
4.994.306.254.604.620;-7.982.659.301.025.930;7.769.452.349.688.320;9.995.047.660.975.690;9.909.443.710.089.240
4.380.772.649.916.640;-97.845.089.328.458;5.014.279.276.878.760;9.980.833.261.882.670;0.41352552777362506
472.002.674.432.898;-7.000.215.697.555.760;695.884.193.218.744;6.570.093.777.482.910;9.984.684.262.433.040
4.318.113.628.537.080;-10.050.409.924.294.600;51.183.989.389.869.800;3.773.264.332.417.530;9.515.453.022.434.380
49.172.823.678.992.000;-7.009.634.818.287.260;6.866.625.159.195.490;60.234.423.297.420.100;9.752.648.210.585.150
4.437.302.287.796.100;-11.989.464.569.583.900;8.660.723.255.893.780;5.423.438.125.776.340;989.362.353.609.296
31.265.393.966.674.200;-779.874.157.386.267;5.165.786.509.529.320;3.461.586.268.394.410;14.435.856.505.811.900
423.365.228.712.954;-7.128.255.313.444.780;9.992.733.316.763.810;9.379.615.890.807.070;9.999.949.295.128.270
437.000.987.074.519;-1.194.746.305.576.680;5.010.779.697.685.010;0.9014260645477556;0.5712819095594408
30.063.178.249.018.800;-1.027.342.734.873.800;10.066.306.606.284.000;0.4350282470531295;8.990.154.183.109.690
3.557.489.538.383.580;-104.935.566.227.248;9.518.792.168.449.680;3.951.234.122.738.690;5.660.301.578.142.900
4.906.731.362.277.800;-7.003.624.433.939.990;61.948.381.857.978.200;8.585.794.072.138.240;8.887.284.727.841.570
30.247.933.406.358.500;-10.807.111.177.769.800;5.004.409.879.305.640;8.755.428.618.530.310;6.609.701.628.606.780
4.997.184.540.885.220;-7.001.295.908.686.470;1.680.458.382.069.920;1.227.300.817.310.510;4.916.762.684.668.630
30.129.124.165.342.700;-7.077.492.437.579.210;5.568.188.944.522.510;4.128.019.700.956.390;24.364.646.561.102.500
30.000.766.566.417.000;-11.201.419.987.185.600;5.041.478.477.017.760;6.880.148.879.665.760;9.001.074.994.454.770
3.583.670.775.126.800;-11.557.525.037.446.400;5.170.581.286.571.370;9.999.466.281.609.340;9.841.706.685.171.830
4.611.330.908.168.480;-760.755.715.209.861;11.359.509.896.416.600;9.259.002.799.719.900;529.082.204.271.731
46.495.896.481.908.600;-9.072.537.393.018.420;810.890.370.987.391;5.949.779.145.346.120;5.386.122.715.823.190
31.790.469.496.986.400;-11.915.676.191.651.400;54.738.736.928.398;7.737.995.363.602.310;9.697.625.117.736.410
3.947.034.983.113.910;-8.137.252.193.973.360;589.256.095.653.825;514.127.536.654.204;7.385.161.956.874.310
30.280.605.586.216.400;-7.638.201.928.964.700;16.933.493.747.655.000;3.586.470.845.538.850;999.456.265.845.365
35.509.154.006.492.400;-8.295.444.091.415.430;5.000.468.346.760.450;2.250.383.680.708.300;4.359.062.235.143.370
42.786.112.917.898.600;-7.339.031.995.178.910;5.000.001.295.492.650;1.104.580.689.915.350;9.658.695.503.990.180
39.028.948.584.450.300;-7.138.980.382.155.180;5.030.282.820.163.370;9.899.379.686.801.350;5.543.487.049.696.580
30.562.845.906.604.300;-849.029.684.858.625;5.823.911.996.844.840;0.6912315939852545;9.855.152.502.385.580
49.068.362.964.325.700;-7.139.599.955.711.490;6.944.916.456.629.180;19.163.771.227.734.300;0.8607936649815477
4.713.985.693.425.900;-8.586.205.813.339.940;5.443.621.298.038.250;9.962.319.772.624.850;36.124.242.193.120.300
4.615.023.915.348.090;-73.339.447.055.954;867.622.807.065.841;7.766.877.178.138.760;24.278.612.966.928.200
30.000.672.418.650.400;-8.943.019.636.816.690;5.001.610.910.035.760;2.298.323.855.304.330;5.668.509.334.098.650
337.504.348.551.374;-8.866.159.824.154.990;560.023.148.426.599;8.513.700.747.980.680;9.963.979.973.585.240
46.387.768.636.979.600;-746.278.318.127.957;5.004.042.298.069.270;71.572.734.158.685.100;9.010.142.118.604.800
30.608.583.685.065.600;-8.700.769.498.420.270;5.000.350.649.166.420;801.472.994.224.027;0.5429191689538627
4.845.505.265.971.770;-702.532.333.520.428;5.000.001.315.272.970;1.194.503.684.013.760;6.319.646.572.185.090
30.429.758.247.604.200;-10.793.511.057.978.200;50.963.439.893.471.300;21.164.520.989.433.400;9.912.695.064.671.730
3.844.368.123.602.350;-7.090.731.858.994.010;13.856.973.532.783.700;0.433842768129043;0.672245321858692
3.748.017.895.624.560;-8.055.438.621.985.670;5.015.169.412.879.330;7.857.620.880.984.060;9.999.880.983.052.450
3.742.624.663.260.690;-8.676.775.068.124.860;5.000.000.322.815.360;7.400.214.171.470.130;2.205.902.452.057.330
4.640.060.756.755.670;-7.188.757.003.186.450;19.880.801.341.574;0.9255730310627823;836.435.900.930.322
463.302.567.880.386;-9.189.523.545.672.880;5.583.808.286.889.680;466.174.945.567.576;8.782.964.997.786.680
4.969.680.227.154.340;-1.121.962.184.018.720;6.615.941.913.226.460;967.124.410.049.946;338.616.876.717.576
3.581.292.592.087.740;-11.051.318.472.948.400;17.486.299.110.547.500;375.537.967.541.038;838.486.253.265.595
31.911.053.853.185.100;-1.197.089.793.478.090;5.272.125.358.283.190;0.857584221256526;9.999.564.551.181.110
3.074.946.616.537.510;-8.938.151.515.709.290;5.669.884.021.271.550;3.250.686.038.495.110;11.961.435.630.425.100
4.541.891.226.925.170;-8.844.951.927.761.670;7.880.086.053.963.880;9.212.420.911.880.680;9.939.054.958.482.940
30.334.157.332.583.100;-8.334.168.347.428.770;11.028.183.028.864.900;736.903.338.590.023;9.676.856.581.301.540
4.740.252.798.039.670;-1.047.689.670.464.040;5.000.005.714.308.800;8.221.032.513.636.150;0.3740188726358028
4.897.482.143.956.680;-11.977.723.833.646.700;11.072.107.534.589.700;60.919.034.374.654.800;823.410.333.823.068
30.034.778.360.634.900;-10.847.783.803.939.900;6.498.639.778.990.520;0.783163731053099;8.547.810.385.540.790
3.625.622.760.143.570;-779.155.471.900.076;9.189.200.674.700.860;8.870.876.591.163.900;996.478.893.803.733
41.150.202.136.059.800;-11.175.614.483.333.100;6.712.108.416.589.450;5.699.978.334.521.700;867.371.934.804.925
46.651.938.980.341.000;-7.028.241.478.812.990;5.052.444.001.731.910;1.763.700.523.486.990;9.994.682.539.050.660
4.797.555.710.055.910;-7.679.526.646.436.010;534.460.911.254.501;4.467.926.120.539.230;7.218.175.304.313.600
3.000.218.028.482.100;-9.854.653.246.803.560;500.283.786.060.416;19.925.941.313.656.900;95.611.888.322.224
4.330.101.865.809.510;-7.023.993.069.588.770;5.123.216.016.819.910;7.203.937.311.099.430;9.988.790.959.680.840
31.775.180.904.260.800;-7.121.871.015.210.820;13.088.500.745.182.500;13.455.806.078.465.500;9.847.499.818.520.890
3.562.590.122.660.030;-719.400.334.443.266;5.000.035.517.376.510;13.191.631.104.640.400;9.836.662.912.182.360
4.494.486.005.113.930;-11.590.088.147.759.300;51.320.073.686.029.000;37.048.292.690.680.000;798.185.753.256.175
368.339.129.196.363;-8.617.937.484.684.820;6.129.184.154.379.660;5.240.469.911.253.500;8.912.625.922.692.950
4.077.123.176.805.610;-10.058.348.926.545.200;11.709.471.305.766.200;6.484.590.516.059.510;8.986.928.701.197.610
32.143.115.802.995.600;-8.895.210.658.558.760;5.000.085.690.692.230;0.5801415361204963;17.268.934.721.623.100
3.001.798.200.350.910;-1.199.919.503.748.610;50.002.032.346.778.600;12.004.289.147.501.400;9.825.760.859.673.280
3.172.085.187.828.090;-7.009.024.448.591.350;5.107.790.415.941.820;8.899.861.826.888.220;917.977.268.089.356
4.763.411.359.504.590;-7.035.548.971.617.820;5.084.743.070.218.950;1.528.195.207.755.490;6.729.193.865.693.590
3.741.482.086.611.040;-1.063.154.354.195.220;62.016.809.623.152.600;0.2983592287998343;999.998.956.480.023
30.956.236.812.446.100;-11.076.665.035.626.300;526.179.478.909.393;368.768.064.761.611;7.331.882.138.704.340
33.671.924.123.836.300;-8.250.868.430.685.250;6.477.224.047.684.270;3.439.618.796.071.450;9.534.081.132.389.760
49.648.072.454.537.400;-11.887.657.049.677.800;7.726.954.261.448.110;22.151.703.508.706.200;0.21218164793407215
3.315.887.147.099.400;-11.621.248.552.796.200;5.037.871.131.691.560;4.777.880.607.843.690;9.904.323.247.002.240
337.722.607.182.686;-11.931.048.783.988.200;5.124.774.402.218.350;3.103.873.356.015.910;28.398.008.493.058.700
4.757.419.996.230.140;-7.281.131.754.051.600;5.008.619.693.926.550;1.523.659.307.657.210;8.047.315.552.070.150
30.055.165.030.232.700;-748.475.422.357.289;838.998.109.779.826;6.403.899.940.137.560;9.843.875.490.876.790
3.000.557.957.824.800;-998.455.853.354.251;5.017.430.444.429.620;17.842.886.073.645.500;9.999.985.374.576.750
332.752.115.053.376;-875.187.659.122.821;5.504.071.177.909.380;8.155.394.028.675.560;34.137.524.692.970.400
3.561.354.567.832.790;-10.706.347.440.753.100;5.000.009.224.849.770;4.064.748.629.375.210;998.588.798.383.011
4.183.212.696.047.270;-11.593.347.014.931.700;8.885.847.132.489.610;9.999.548.922.469.990;9.910.099.387.940.650
4.437.446.514.962.660;-10.449.341.753.801.000;5.000.000.406.139.660;5.488.308.605.048.720;6.807.844.265.440.810
30.102.960.528.026.200;-11.797.194.229.413.200;5.122.347.020.037.740;6.990.514.076.725.990;9.742.591.355.644.580
30.179.970.774.745.200;-9.035.079.555.109.210;61.184.317.208.601.100;61.675.101.870.143.600;544.429.613.214.409
4.994.234.342.711.140;-11.855.410.474.370.500;5.178.051.306.428.940;17.042.306.879.519.400;0.7731019588561516
46.633.532.384.963.500;-9.966.087.416.023.590;8.669.183.264.645.380;933.158.615.782.981;10.736.784.258.473.400
3.017.378.491.754.200;-8.030.231.432.070.200;11.701.167.208.474.600;0.179106267881387;6.450.934.610.610.160
3.859.712.093.782.460;-7.003.574.048.527.900;5.772.193.224.502.140;22.255.889.338.270.500;8.300.715.175.523.360
32.280.547.578.146.300;-7.152.223.735.483.390;16.893.102.752.019.200;9.992.107.426.600.460;5.391.017.494.976.880
31.419.868.898.129.500;-10.416.497.710.004.600;5.000.122.810.532.400;8.505.411.223.355.170;938.581.258.177.207
44.733.837.846.066.000;-11.149.900.214.486.100;5.004.308.097.820.720;28.116.677.657.307.200;9.987.851.882.890.720
30.080.701.989.567.000;-10.048.964.016.695.600;5.013.165.116.435.820;22.655.837.357.442.200;992.041.160.702.313
339.911.412.448.203;-728.164.669.000.103;14.441.144.883.343.200;0.5086820628980576;9.123.623.699.242.080
31.302.278.358.085.200;-7.032.416.886.532.760;7.976.183.659.156.710;8.066.063.000.274.650;9.887.753.839.093.930
4.988.830.007.798.530;-11.926.758.267.789.400;5.192.270.661.635.450;5.283.435.796.067.200;9.053.389.017.359.490
4.953.643.424.029.580;-7.718.249.251.716.320;13.975.424.922.184.700;8.302.768.317.527.020;9.855.409.543.646.440
31.180.924.326.205.500;-1.148.597.512.640.920;17.928.167.267.996.300;9.524.770.102.103.530;7.075.750.200.556.970
4.094.122.923.813.530;-7.504.698.973.667.170;5.000.002.588.322.060;3.458.366.408.905.940;5.972.527.444.436.770
3.458.472.250.036.610;-7.311.739.810.137.140;7.082.730.459.882.850;9.587.652.381.709.870;9.815.660.687.799.300
3.746.821.320.583.580;-8.330.902.657.343.830;9.498.053.806.516.240;4.249.021.230.311.650;987.064.445.705.031
30.161.218.268.677.000;-7.132.302.819.114.580;500.324.755.831.934;76.848.610.069.782.100;9.465.168.107.962.850
3.004.302.515.182.800;-10.679.285.715.822.000;5.000.827.817.927.710;9.933.624.753.621.210;9.999.844.325.462.420
3.272.864.883.151.450;-7.122.933.077.981.590;5.127.231.239.439.470;0.9553156770137456;9.894.595.674.292.860
4.445.036.091.248.440;-7.363.140.443.170.450;8.192.428.467.546.220;0.5822457972526217;8.315.696.840.721.000
3.024.057.908.286.230;-9.982.849.875.846.090;509.420.587.767.536;4.267.491.682.330.390;9.809.965.967.386.590
48.638.636.302.335.700;-8.359.613.450.298.300;5.000.000.815.408.060;14.081.767.757.037.600;9.995.544.644.104.730
30.073.904.108.126.900;-8.643.673.349.461.790;6.352.288.029.209.110;2.916.736.765.133.110;9.622.471.754.597.310
3.003.953.218.722.650;-7.514.058.366.499.480;5.531.502.967.712.660;4.949.587.463.738.440;7.483.440.194.451.310
4.929.689.272.350.090;-8.896.913.020.117.460;19.836.356.820.998.400;7.543.678.177.434.980;4.367.308.299.696.520
300.427.866.292.871;-7.229.579.872.798.920;6.711.083.015.927.340;0.9900894478714518;981.337.395.119.034
3.618.878.503.573.580;-9.160.146.442.160.590;5.000.143.638.481.110;26.224.416.891.107.900;7.204.535.094.649.960
468.962.399.322.004;-7.563.459.121.677.940;19.329.172.812.008.100;9.124.595.703.431.810;8.628.212.353.682.530
4.168.772.365.657.200;-7.326.661.172.731.250;5.371.438.339.683.220;820.929.796.163.718;9.672.482.994.214.890
32.426.651.675.630.300;-7.001.643.930.933.890;13.783.729.958.232.100;9.831.931.934.449.020;2.044.574.875.101.290
30.264.820.078.101.800;-7.731.881.710.232.870;7.807.356.627.967.930;7.599.211.095.617.320;9.330.883.162.134.050
3.000.097.144.082.350;-706.723.736.703.042;7.033.888.055.566.130;9.706.261.258.344.510;24.813.808.786.207.300
30.510.502.925.928.000;-7.773.554.639.760.280;9.604.508.208.045.660;0.44597165454220045;8.900.411.984.912.840
3.019.268.757.661.060;-9.738.709.512.224.350;16.240.456.646.435.000;9.877.841.976.036.930;8.449.027.530.158.890
4.082.711.839.008.540;-11.805.559.317.958.400;5.003.234.207.782.570;63.350.610.444.318.900;9.757.766.791.568.050
31.045.905.067.847.300;-7.035.878.690.489.410;5.063.088.337.355.010;8.693.854.683.170.460;8.864.429.393.965.890
3.049.092.841.036.730;-8.131.340.159.272.750;8.305.875.809.520.200;11.883.889.888.482.500;49.435.010.850.551.500
30.000.342.768.238.300;-10.012.320.464.365.700;77.188.862.178.201.100;0.23723016006946374;9.488.421.545.217.290
30.009.374.511.920.400;-745.735.023.037.664;8.503.786.920.088.340;0.27636905406594736;8.816.452.117.905.970
3.007.890.014.667.620;-10.893.273.339.041.800;5.000.003.285.970.790;8.233.332.087.834.540;0.5495573815516724
3.730.399.984.312.120;-11.907.846.344.346.600;19.137.502.764.772.800;9.909.747.707.915.690;9.990.366.422.468.630
3.464.861.708.615.030;-9.630.364.801.789.120;6.175.407.435.475.190;16.575.295.583.578.200;0.517152006047966
30.072.796.788.824.400;-7.609.629.950.310.860;6.594.247.256.722.260;14.354.043.177.744.000;489.023.799.286.486
34.741.913.810.421.100;-702.387.796.390.172;5.007.654.785.695.020;4.692.856.424.740.880;8.002.439.103.370.990
3.792.335.789.991.430;-9.319.755.666.588.120;11.273.358.632.710.300;0.06927023645236588;7.706.615.300.343.060
39.065.307.300.834.300;-7.483.507.969.153.910;5.313.904.196.712.640;9.059.102.503.143.080;4.602.647.643.698.690
4.896.805.962.861.590;-7.000.709.037.661.870;8.490.551.754.770.000;783.679.429.175.859;2.645.298.162.984.610
40.702.877.105.124.500;-7.674.809.995.059.980;5.026.415.672.321.250;0.08158407754214111;8.612.389.869.093.370
31.397.828.144.959.800;-11.622.395.059.232.100;5.045.863.315.421.620;17.472.624.565.287.700;9.998.985.594.217.810
4.777.975.078.676.960;-10.775.893.884.674.400;8.702.835.476.561.740;7.370.823.412.972.430;0.17977520749990758
4.115.007.798.867.940;-7.099.636.100.225.350;1.461.235.795.163.880;5.356.952.374.941.560;999.325.566.711.224
3.313.871.145.429.280;-9.409.402.709.142.290;5.284.265.006.958.250;21.245.500.151.783.800;889.280.776.461.326
3.219.700.277.091.670;-7.403.213.624.200.620;1.795.141.910.227.690;978.403.924.887.888;0.9443023510502571
41.523.532.918.373.700;-11.281.316.919.897.800;5.000.001.440.646.990;9.558.146.077.693.140;33.223.990.795.512.100
4.389.384.686.752.400;-11.566.874.847.824.200;6.964.691.530.520.130;0.8769413996055352;5.457.939.547.199.930
3.980.773.875.452.940;-952.411.648.793.064;5.152.876.458.526.070;8.339.363.673.001.600;8.511.147.061.492.700
300.192.107.400.801;-83.957.569.401.509;5.098.407.379.796.240;36.695.473.925.376.500;0.5233206859991296
4.744.484.150.540.030;-980.185.030.063.781;5.000.011.766.633.380;0.01738610624305252;0.06549091750328682
46.100.279.272.931.800;-7.071.249.460.112.650;5.000.000.016.811.500;6.142.688.803.329.080;0.028280073200200456
30.925.522.233.244.500;-10.351.018.965.772.100;5.015.828.807.320.830;12.517.127.729.891.200;7.285.998.881.240.710
4.248.971.203.095.440;-8.142.379.943.262.810;5.014.127.259.162.040;6.942.607.714.367.540;27.525.907.156.874.300
3.016.733.976.469.940;-8.087.604.235.138.720;5.001.426.363.648.530;7.728.989.535.974.030;9.808.444.342.264.750
3.461.976.303.375.020;-7.444.400.127.552.420;5.032.116.863.409.990;9.872.197.665.945.690;7.464.607.764.567.990
3.406.068.403.449.650;-1.098.003.129.838.380;10.910.101.816.894.200;4.897.213.826.310.390;9.559.764.231.754.730
37.445.987.068.897.600;-7.716.011.487.313.380;5.021.138.005.859.550;140.185.170.729.752;1.603.315.093.322.970
453.118.670.146.243;-7.759.854.390.649.310;10.376.511.409.987.700;7.829.446.827.835.020;9.851.011.845.492.840
4.417.284.139.497.570;-8.583.204.948.735.650;57.728.238.732.393.300;9.846.323.955.278.930;5.698.614.315.309.570
4.046.843.211.653.880;-7.338.201.904.020.050;5.000.125.353.070.750;1.701.154.270.312.860;8.703.538.992.146.630
46.912.156.981.334;-7.009.896.195.446.020;815.824.135.630.327;6.400.319.946.187.930;5.329.368.208.497.120
47.758.966.219.234.200;-740.545.717.790.348;6.583.514.753.758.840;0.8048178134443065;9.998.459.838.213.660
3.298.437.539.657.360;-70.527.929.930.339;19.351.192.810.774.300;9.951.357.610.501.700;18.865.847.257.946.800
3.553.042.096.151.000;-11.517.224.781.205.100;5.000.001.711.039.820;4.397.396.108.062.470;91.905.384.177.188
46.369.815.495.236.700;-11.751.081.806.014.900;8.005.203.571.687.890;7.028.273.340.523.190;8.266.274.357.320.450
34.427.862.653.662.900;-10.853.139.263.138.400;5.420.020.635.659.050;0.10249020057617174;9.237.616.364.814.740
3.358.539.742.096.490;-8.533.904.216.610.240;18.049.630.064.202.700;17.832.957.721.124.400;0.11393117699739365
30.186.630.849.695.100;-73.020.028.096.624;8.731.098.050.846.080;36.371.538.475.621.800;6.514.809.920.529.050
4.237.296.311.552.420;-7.859.886.720.238.830;9.514.340.673.454.750;8.989.216.428.601.340;806.341.859.621.886
4.041.992.960.062.250;-7.622.532.246.007.270;6.226.888.818.603.890;2.430.596.276.723.750;64.703.325.222.453.500
454.969.449.368.281;-11.706.146.664.471.500;8.373.972.346.148.270;9.885.421.358.014.160;7.071.421.689.959.540
30.919.789.752.513.300;-8.404.923.376.771.460;5.001.404.896.120.720;5.365.524.325.590.210;9.997.773.852.409.220
3.238.918.932.304.730;-10.106.879.061.132.600;5.063.447.537.401.380;9.852.500.437.505.280;6.557.089.272.176.960
3.029.700.461.011.600;-8.135.904.575.218.350;19.434.761.400.111.000;4.959.542.959.591.640;0.5291718576369641
3.153.045.946.617.500;-10.099.911.506.775.900;5.590.352.863.805.100;8.635.032.344.958.170;8.911.923.668.660.390
47.443.544.420.414.800;-7.838.874.474.419.400;5.164.047.162.464.640;8.163.948.224.338.200;9.292.029.752.137.300
45.395.704.017.323.100;-10.663.486.249.197.500;12.796.368.319.080.500;0.05274970786488231;22.653.791.184.693.800
31.796.815.355.271.800;-10.086.279.927.432.700;5.475.871.192.904.930;7.882.260.327.274.060;31.398.939.342.078.500
3.855.311.997.746.050;-7.009.762.208.147.290;53.182.938.332.289.100;14.674.638.630.022.100;0.3584039416752628
30.361.121.826.793.400;-8.600.770.713.525.710;19.599.193.199.810.100;2.997.211.378.752.930;9.981.661.453.425.700
3.188.544.728.075.800;-7.000.895.691.608.130;50.071.509.011.204.500;8.849.437.964.931.160;35.299.571.571.027.200
